Time,Cur.,Imp.,Event,Actual,Forecast,Previous,Unnamed: 7_level_0,Unnamed: 8_level_0
Time,Cur.,Imp.,Event,Actual,Forecast,Previous,Unnamed: 7_level_1,Unnamed: 8_level_1
"Monday, April 29, 2024","Monday, April 29, 2024","Monday, April 29, 2024","Monday, April 29, 2024","Monday, April 29, 2024","Monday, April 29, 2024","Monday, April 29, 2024","Monday, April 29, 2024","Monday, April 29, 2024"
All Day,,0,Japan - Showa Day,Japan - Showa Day,Japan - Showa Day,Japan - Showa Day,Japan - Showa Day,Japan - Showa Day
03:00,EUR,1,Spanish CPI (MoM) (Apr),,,0.8%,,
03:00,EUR,2,Spanish CPI (YoY) (Apr),,,3.2%,,
03:00,EUR,1,Spanish HICP (MoM) (Apr),,,1.4%,,
03:00,EUR,2,Spanish HICP (YoY) (Apr),,,3.3%,,
04:00,EUR,1,Italian Trade Balance Non-EU (Mar),,,6.74B,,
04:00,EUR,1,Baden Wuerttemberg CPI (YoY) (Apr),,,2.3%,,
04:00,EUR,1,Bavaria CPI (YoY) (Apr),,,2.3%,,
04:00,EUR,1,Bavaria CPI (MoM) (Apr),,,0.4%,,
04:00,EUR,1,Brandenburg CPI (MoM) (Apr),,,0.4%,,
04:00,EUR,1,Brandenburg CPI (YoY) (Apr),,,2.8%,,
04:00,EUR,1,Hesse CPI (MoM) (Apr),,,0.3%,,
04:00,EUR,1,Hesse CPI (YoY) (Apr),,,1.6%,,
04:00,EUR,1,North Rhine Westphalia CPI (YoY) (Apr),,,2.3%,,
04:00,EUR,1,North Rhine Westphalia CPI (MoM) (Apr),,,0.5%,,
04:00,EUR,1,Saxony CPI (MoM) (Apr),,,0.4%,,
04:00,EUR,1,Saxony CPI (YoY) (Apr),,,2.5%,,
05:00,EUR,1,Business and Consumer Survey (Apr),,,96.3,,
05:00,EUR,1,Business Climate (Apr),,,-0.30,,
05:00,EUR,1,Consumer Confidence (Apr),,,,,
05:00,EUR,1,Consumer Inflation Expectation (Apr),,,12.3,,
05:00,EUR,1,Selling Price Expectations (Apr),,,5.6,,
05:00,EUR,1,Services Sentiment (Apr),,,6.3,,
05:00,EUR,1,Industrial Sentiment (Apr),,,-8.8,,
07:00,BRL,1,IGP-M Inflation Index (MoM) (Apr),,,-0.47%,,
07:30,BRL,1,CAGED Net Payroll Jobs (Mar),,,306.11K,,
08:00,EUR,3,German CPI (MoM) (Apr),,,0.4%,,
08:00,EUR,2,German CPI (YoY) (Apr),,,2.2%,,
08:00,EUR,1,German HICP (MoM) (Apr),,,0.6%,,
08:00,EUR,1,German HICP (YoY) (Apr),,,2.3%,,
10:30,USD,1,Dallas Fed Mfg Business Index (Apr),,,-14.4,,
19:00,KRW,1,Industrial Production (YoY) (Mar),,,4.8%,,
19:00,KRW,1,Industrial Production (MoM) (Mar),,,3.1%,,
19:00,KRW,1,Retail Sales (MoM) (Mar),,,-3.1%,,
19:00,KRW,1,Service Sector Output (MoM) (Mar),,,0.7%,,
19:30,JPY,1,Jobs/applications ratio (Mar),,,1.26,,
19:30,JPY,1,Unemployment Rate (Mar),,,2.6%,,
19:50,JPY,2,Industrial Production (MoM) (Mar),,,-0.6%,,
19:50,JPY,1,Industrial Production forecast 1m ahead (MoM) (Apr),,,4.9%,,
19:50,JPY,1,Industrial Production forecast 2m ahead (MoM) (May),,,3.3%,,
19:50,JPY,1,Large Retailers' Sales (MoM),,,1.5%,,
19:50,JPY,1,Large Scale Retail Sales YoY (YoY) (Mar),,,8.0%,,
19:50,JPY,1,Retail Sales (YoY) (Mar),,,4.7%,,
21:00,NZD,1,ANZ Business Confidence (Apr),,,22.9,,
21:00,NZD,1,NBNZ Own Activity (Apr),,,22.5%,,
21:30,AUD,1,Housing Credit (Mar),,,0.4%,,
21:30,AUD,1,Private Sector Credit (MoM) (Mar),,,0.5%,,
21:30,AUD,2,Retail Sales (MoM) (Mar),,,0.3%,,
21:30,CNY,2,Chinese Composite PMI (Apr),,,52.7,,
21:30,CNY,3,Manufacturing PMI (Apr),,,50.8,,
21:30,CNY,2,Non-Manufacturing PMI (Apr),,,53.0,,
21:45,CNY,2,Caixin Manufacturing PMI (Apr),,,51.1,,
23:00,NZD,1,M3 Money Supply (Mar),,,"407,684.0B",,
"Tuesday, April 30, 2024","Tuesday, April 30, 2024","Tuesday, April 30, 2024","Tuesday, April 30, 2024","Tuesday, April 30, 2024","Tuesday, April 30, 2024","Tuesday, April 30, 2024","Tuesday, April 30, 2024","Tuesday, April 30, 2024"
01:00,JPY,1,Construction Orders (YoY) (Mar),,,-11.0%,,
01:00,JPY,1,Housing Starts (YoY) (Mar),,,-8.2%,,
01:30,EUR,2,French Consumer Spending (MoM) (Mar),,,-0.6%,,
01:30,EUR,2,French GDP (QoQ) (Q1),,,0.1%,,
01:30,EUR,2,French GDP (YoY) (Q1),,,0.7%,,
02:00,EUR,2,German Retail Sales (MoM) (Mar),,,-1.9%,,
02:00,EUR,1,German Retail Sales (YoY) (Mar),,,-2.7%,,
02:00,ZAR,1,M3 Money Supply (YoY) (Mar),,,5.71%,,
02:00,ZAR,1,Private Sector Credit (Mar),,,3.32%,,
02:45,EUR,1,French CPI (YoY) (Apr),,,2.3%,,
02:45,EUR,2,French CPI (MoM) (Apr),,,0.2%,,
02:45,EUR,1,PPI (YoY) (Mar),,,-5.50%,,
02:45,EUR,1,French PPI (MoM) (Mar),,,-1.7%,,
03:00,CHF,2,KOF Leading Indicators (Apr),,,101.5,,
03:00,CHF,1,Official Reserves Assets (Mar),,,751.0B,,
03:00,EUR,2,Spanish GDP (QoQ) (Q1),,,0.6%,,
03:00,EUR,1,Spanish GDP (YoY) (Q1),,,2.0%,,
03:55,EUR,2,German Unemployment Change (Apr),,,4K,,
03:55,EUR,2,German Unemployment Rate (Apr),,,5.9%,,
03:55,EUR,1,German Unemployment (Apr),,,2.719M,,
03:55,EUR,1,German Unemployment n.s.a. (Apr),,,2.769M,,
04:00,EUR,1,Italian GDP (YoY) (Q1),,,0.6%,,
04:00,EUR,1,Italian GDP (QoQ) (Q1),,,0.2%,,
04:00,EUR,2,German GDP (YoY) (Q1),,,-0.2%,,
04:00,EUR,3,German GDP (QoQ) (Q1),,,-0.3%,,
04:00,EUR,1,Spanish Current account (Feb),,,5.13B,,
