Time,Cur.,Imp.,Event,Actual,Forecast,Previous,Unnamed: 7_level_0,Unnamed: 8_level_0
Time,Cur.,Imp.,Event,Actual,Forecast,Previous,Unnamed: 7_level_1,Unnamed: 8_level_1
"Monday, April 22, 2024","Monday, April 22, 2024","Monday, April 22, 2024","Monday, April 22, 2024","Monday, April 22, 2024","Monday, April 22, 2024","Monday, April 22, 2024","Monday, April 22, 2024","Monday, April 22, 2024"
03:00,CHF,1,M3 Money Supply (Mar),,,"1,130,090.0B",,
05:00,EUR,1,Government Budget to GDP,,,-3.6%,,
06:00,GBP,1,CBI Industrial Trends Orders (Apr),,-15,-18,,
06:00,EUR,1,German Buba Monthly Report,,,,,
06:00,EUR,2,Eurogroup Meetings,,,,,
07:25,BRL,1,BCB Focus Market Readout,,,,,
08:30,USD,1,Chicago Fed National Activity (Mar),,,0.05,,
08:30,CAD,1,IPPI (YoY) (Mar),,,-1.7%,,
08:30,CAD,1,IPPI (MoM) (Mar),,0.8%,0.7%,,
08:30,CAD,2,New Housing Price Index (MoM) (Mar),,0.1%,0.1%,,
08:30,CAD,2,RMPI (MoM) (Mar),,2.9%,2.1%,,
08:30,CAD,1,RMPI (YoY) (Mar),,,-4.7%,,
09:00,EUR,1,French 12-Month BTF Auction,,,3.471%,,
09:00,EUR,1,French 3-Month BTF Auction,,,3.814%,,
09:00,EUR,1,French 6-Month BTF Auction,,,3.706%,,
10:00,EUR,1,Consumer Confidence (Apr),,-14.0,-14.9,,
11:30,USD,1,3-Month Bill Auction,,,5.250%,,
11:30,USD,1,6-Month Bill Auction,,,5.155%,,
11:30,EUR,2,ECB President Lagarde Speaks,,,,,
12:02,GBP,1,Rightmove House Price Index (YoY) (Apr),,,0.8%,,
13:30,BRL,1,Foreign Exchange Flows,,,-0.684B,,
17:00,KRW,1,PPI (MoM) (Mar),,,0.3%,,
17:00,KRW,1,PPI (YoY) (Mar),,,1.5%,,
20:30,JPY,1,au Jibun Bank Japan Manufacturing PMI (Apr),,48.0,48.2,,
20:30,JPY,2,au Jibun Bank Japan Services PMI,,,54.1,,
23:35,JPY,1,2-Year JGB Auction,,,0.187%,,
